open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760930100000,1108.990,1113.500,1108.410,1110.370,11154.47,1760930999999,12398334.02620,20264,6167.06,6856534.67920,0
1760931000000,1110.390,1115.790,1108.000,1113.200,9770.62,1760931899999,10862977.60330,18697,4743.90,5278119.12130,0
1760931900000,1113.200,1130.420,1112.000,1127.940,44151.87,1760932799999,49634027.40960,54680,24110.91,27097122.35120,0
1760932800000,1127.940,1131.830,1126.050,1129.550,23886.62,1760933699999,26955424.22000,38816,11573.42,13061370.02710,0
1760933700000,1129.550,1130.800,1123.770,1124.990,15666.45,1760934599999,17637228.80420,26396,6024.56,6782239.93650,0
1760934600000,1124.980,1127.930,1122.660,1124.060,16327.78,1760935499999,18361197.42380,25998,6386.32,7182731.79520,0
1760935500000,1124.060,1127.570,1123.340,1126.910,7735.06,1760936399999,8706522.49970,15085,4487.83,5052207.76400,0
1760936400000,1126.920,1127.810,1122.500,1127.230,9090.02,1760937299999,10221817.92600,19728,4746.98,5338468.64230,0
1760937300000,1127.230,1129.500,1125.610,1127.600,10320.96,1760938199999,11637538.60990,20457,4911.52,5538247.23350,0
1760938200000,1127.590,1132.000,1127.170,1129.260,13350.82,1760939099999,15084238.56660,20707,7394.58,8354204.26460,0
1760939100000,1129.270,1133.870,1128.510,1132.420,15713.74,1760939999999,17783836.10970,21696,7421.47,8398572.44360,0
1760940000000,1132.440,1136.930,1130.770,1136.060,19716.71,1760940899999,22353418.91270,31153,10487.37,11892426.95770,0
1760940900000,1136.060,1142.740,1133.660,1134.360,38996.96,1760941799999,44412799.27030,44609,17538.72,19983989.69920,0
1760941800000,1134.350,1137.070,1132.520,1135.070,18574.33,1760942699999,21077828.58860,27798,9482.05,10761911.65390,0
1760942700000,1135.070,1136.500,1131.200,1132.120,12750.31,1760943599999,14448572.60400,21622,5967.15,6764066.18710,0
1760943600000,1132.110,1132.110,1126.020,1129.090,21134.70,1760944499999,23844816.49950,29785,7846.59,8851001.29840,0
1760944500000,1129.080,1134.090,1127.860,1131.550,13380.72,1760945399999,15129105.56560,20610,7730.89,8741056.01280,0
1760945400000,1131.540,1131.840,1125.240,1127.150,14774.85,1760946299999,16663016.50890,24971,6149.81,6934737.76870,0
1760946300000,1127.160,1127.330,1120.110,1124.130,21835.62,1760947199999,24534068.02600,27304,8642.02,9711645.77140,0
1760947200000,1124.130,1124.480,1120.300,1123.340,10329.15,1760948099999,11589672.55110,19569,4154.36,4661636.16140,0
1760948100000,1123.310,1124.160,1118.370,1122.880,14736.36,1760948999999,16518486.88710,20428,6531.00,7322901.06870,0
1760949000000,1122.880,1129.200,1121.770,1123.720,21757.61,1760949899999,24486046.00100,28536,11843.40,13332111.64670,0
1760949900000,1123.730,1126.060,1120.200,1121.280,10212.86,1760950799999,11463802.06230,16938,5102.93,5728997.09510,0
1760950800000,1121.280,1121.800,1117.070,1120.900,13295.26,1760951699999,14886737.13670,22584,6388.18,7154512.73070,0
1760951700000,1120.900,1121.460,1116.070,1119.070,15938.63,1760952599999,17819143.59500,25440,8289.09,9267650.87380,0
1760952600000,1119.060,1120.580,1117.780,1120.040,6435.75,1760953499999,7204031.80610,16176,3160.02,3537491.56600,0
1760953500000,1120.040,1122.580,1117.630,1121.770,9493.74,1760954399999,10633135.76480,16748,5383.83,6030828.08410,0
1760954400000,1121.780,1125.810,1121.480,1125.360,15496.72,1760955299999,17418616.99020,24457,9017.27,10135557.23540,0
1760955300000,1125.370,1128.320,1124.010,1124.900,12795.73,1760956199999,14413305.96450,20833,5734.57,6459957.88800,0
1760956200000,1124.890,1127.610,1117.990,1118.670,23459.29,1760957099999,26321389.53660,27195,10062.39,11289770.92520,0
1760957100000,1118.670,1119.210,1112.360,1113.940,25408.44,1760957999999,28326015.93870,34326,9228.30,10289279.33540,0
1760958000000,1113.940,1115.020,1109.500,1110.700,18760.84,1760958899999,20849278.89730,29735,7114.47,7907421.92510,0
1760958900000,1110.690,1114.990,1110.440,1113.790,10714.25,1760959799999,11924964.26440,20413,6546.69,7286699.65710,0
1760959800000,1113.780,1113.790,1110.070,1112.020,9320.98,1760960699999,10362823.37860,16942,4985.67,5542972.74950,0
1760960700000,1112.030,1115.960,1111.710,1114.510,12746.79,1760961599999,14205065.72830,18683,6312.98,7034808.67310,0
1760961600000,1114.500,1114.500,1110.740,1111.030,11684.72,1760962499999,12998442.54360,18431,6732.85,7490444.32080,0
1760962500000,1111.030,1115.420,1110.540,1115.130,11129.58,1760963399999,12394043.02840,18328,6118.12,6811758.90570,0
1760963400000,1115.130,1116.310,1112.600,1113.430,10465.66,1760964299999,11668532.84680,19835,5161.45,5754919.34870,0
1760964300000,1113.440,1115.180,1110.710,1113.540,10740.48,1760965199999,11950751.21050,17042,4590.29,5107507.14730,0
1760965200000,1113.550,1114.640,1106.330,1106.330,14750.83,1760966099999,16381267.05130,23458,5482.54,6090798.06340,0
1760966100000,1106.340,1110.400,1105.610,1110.060,13192.43,1760966999999,14619209.06910,21856,7718.11,8552922.06760,0
1760967000000,1110.070,1113.320,1108.370,1111.050,19108.49,1760967899999,21234838.38230,30736,9397.53,10444106.14570,0
1760967900000,1111.060,1113.350,1108.690,1110.030,13177.91,1760968799999,14639085.54480,26290,7564.63,8403253.13280,0
1760968800000,1110.040,1111.160,1104.810,1106.050,20020.88,1760969699999,22163618.32670,33786,10082.66,11162227.55100,0
